Municipality,Last Name,First Name,Affiliation
Ajax,Butler,Vincent J,The Association for Education and Evangelism
Ajax,Byam Akinbo,Kemba Roxie,Canadian International Metaphysical Ministry
Ajax,Campbell,Chester Clinton,Canadian Church Of God In Christ
Ajax,Campbell,Dennister A,Fellowship Of Evangelical Baptist Churches
Ajax,Campbell,Evadne Cynthia,Canadian Church Of God In Christ
Ajax,Campbell,Prince A,Rivers Living Water Christian Centre Inc.
Ajax,Campbell,Rachel Isabel,Rivers Living Water Christian Centre Inc.
Ajax,Campbell-Baillie,Lavania,Open for Life Ministries
Ajax,Carter-Jackson,Donna Maureen,Presbyterian Church in Canada Presbytery Of Pickering
Ajax,Castillo,Christeon John,Ontario Church of God in Christ
Ajax,Cato,Kevin W,Celebrating Life Ministries
Ajax,Chadee,Balliram,Hinduism
Ajax,Chambers,Colvin Lancaster,The Fellowship Of Christian Assemblies
Ajax,Chambers,Monique Marja,The Fellowship Of Christian Assemblies
Ajax,Chen,Jack Fu,Fellowship Of Evangelical Baptist Churches
Ajax,Clark,Daniel James,Baptist - Ontario & Quebec
Ajax,Codling,Terr G,Churches Of Christ And Individually As Disciples Of Christ
Ajax,Colquhoun,Wilkie A,Canadian Christian Ministries
Ajax,Constantine,Anton Ranjit Cornelius,The Apostolic Church in Canada
Ajax,Cooke,Tina Marie,Clergy Support Memorial Church
Ajax,Cretney,Terry Wayne,Brethren
Ajax,Cruz,Luis,Baptist - Ontario & Quebec
Ajax,Damji,Shiraz,Ismaili Muslim Council For Ontario
Ajax,Daunt,Nicholas Alan,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Ajax,Davidson,Judith A,Divine Light Spiritualist Church
Ajax,Davy,Vida Margaret,"Mount Halibeth Christian Church Of The World, Inc."
Ajax,Dayle,Sabrena Antoinette,Canadian Christian Ministries
Ajax,Del Castilho,Raymond Aloysius,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Ajax,Deniston,Alfred,The Pentecostal Assemblies of Canada Western Ontario District
Ajax,Diarios,Noel Allan,United Pentecostal Church International Ontario District
Ajax,Dimitrievski,Blage,Macedonian Eastern Orthodox Church
Ajax,Dixon,Grace,Salvation Army
Ajax,Dockerty,Aileen,Canadian International Metaphysical Ministry
Ajax,Donaldson,Shawnita M A,The New Testament Church of Christ the Redeemer
Ajax,Dondapati,Moses Edward Francis,The Evangelical Christian Church In Canada
Ajax,Dover,Vanessa,Emmanuel Praise and Worship Centre
Ajax,Dover,William E,Emmanuel Praise and Worship Centre
Ajax,Duguid,Barbara,Presbyterian Church in Canada Presbytery Of Pickering
Ajax,Eccles,Giston Earl,The Pentecostal Assemblies of Canada Western Ontario District
Ajax,Edwards Pierre,Keda C K,Canadian International Metaphysical Ministry
Ajax,Ekwueme,Obioma Ghidozie,The Fellowship Of Christian Assemblies
Ajax,Ernst,Robert,Faith Christian Fellowship of Canada Inc.
Ajax,Faulkner,Barbara Ellen,Divine Light Spiritualist Church
Ajax,Fernando,Mariyasandanam,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Ferry,Catherine Louise,The Community Catholic Church of Canada
Ajax,Ford,Julia Grace,The Anglican Church Of Canada Diocese Of Toronto
Ajax,Forde,Antionette Selina,Open for Life Ministries
Ajax,Fowler,David G,The Christian and Missionary Alliance Eastern Canada District
Ajax,Fraser,Frank S J,The Messianic Church Of God
Ajax,Fuller,Wesley,Redemption City Of Faith Ministries Of Canada Inc
Ajax,Gardner,Elaine,Canadian Christian Ministries
Ajax,Gaynor,Burleigh,United Pentecostal Church International Ontario District
Ajax,Gendemeh,Gifty,The Association for Education and Evangelism
Ajax,George,Louis Francis,"The Church of God Sabbath Keeping"""""
Ajax,Gittens,Colin Aggrey,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Gnanendran,Ebanesar P,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Golan,Jeremy Asher,Celebrating Life Ministries
Ajax,Gordon,De Leon O,Cathedral of Hope Ministries
Ajax,Grace-Sandy,Arnoldene Veronica,Church Of The Nazarene Canada Central District
Ajax,Green,Howard H,"The Church of God Sabbath Keeping"""""
Ajax,Green,Stanford Fagan,Open for Life Ministries
Ajax,Grenier,David Joseph,The Community Catholic Church of Canada
Ajax,Grenier,Shari E A,The Community Catholic Church of Canada
Ajax,Grieve,John Anthony,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Ajax,Griffith,Mark,Independent Assemblies Of God International
Ajax,Gulab,Dereck,Gilgal Christian Community
Ajax,Gushway,Maxine V,Ministers Network Canada
Ajax,Gushway,Roger Arlington Harvey,The Association for Education and Evangelism
Ajax,Harman,Matthew J,The Pentecostal Assemblies of Canada Western Ontario District
Ajax,Haylett-Radlein,Suzette Yeachkia,Redemption City Of Faith Ministries Of Canada Inc
Ajax,Heineman,Arnold,Associated Gospel Churches
Ajax,Hiruy,Yonatan,The Evangelical Christian Church In Canada
Ajax,Hoddenbagh,Johannes,Brethren
Ajax,Holmes,Michael,Ministers Network Canada
Ajax,Hubbard,William J,Fellowship Of Evangelical Baptist Churches
Ajax,Hue,Shameika A,The New Testament Church of Christ the Redeemer
Ajax,Huffman,Justin Orion,Fellowship Of Evangelical Baptist Churches
Ajax,Huh,Jaeho,Presbyterian Church in Canada Presbytery Of Pickering
Ajax,Jacques,Patrick Elie,Seventh-day Adventists Ontario Conference
Ajax,Jacques,Vaudre,Seventh-day Adventists Ontario Conference
Ajax,Jallim,Mark Anthony,Christian Reformed Church In North America
Ajax,James,Andrew John-Mark,The Association for Education and Evangelism
Ajax,James,Owen George,Holy Zion of Melchizek Inc.
Ajax,James Baxter,Joanna Janna-Lyn Elizabeth,Emmanuel Fellowship Inc.
Ajax,Jangam,Philip J,The Fellowship Of Christian Assemblies
Ajax,Jerome,Osmond J,Fellowship Of Evangelical Baptist Churches
Ajax,John,Beverley Wanitha,Church of God in Canada
Ajax,Johnson,Jason A,True Light Apostolic Church of Jesus Christ
Ajax,Johnstone,Kenneth Michael,The Anglican Church Of Canada Diocese Of Toronto
Ajax,Jones,David Owen,East Central Ontario Regional Council - United Church
Ajax,Jones,Debra,The United Spiritual Baptist Church Of Ontario Inc
Ajax,Jones,Susan Janice,Ministers Network Canada
Ajax,Joyce,Rodney W,Rossland Ridge Bible Chapel
Ajax,Kabongo,Elie,The Association for Education and Evangelism
Ajax,Kaminsky,Janet A,Divine Light Spiritualist Church
Ajax,Kanji,Karim G,Ismaili Muslim Council For Ontario
Ajax,Kanthappu,Murugiah,Hinduism
Ajax,Katunda,Mutombo,Eagle Worldwide Ministries
Ajax,Khan,Abdul Majid,Islam
Ajax,Khan,Ahmad,Islamic
Ajax,Kiala,Loundou Cristiano,Eagle Worldwide Ministries
Ajax,Kratz,Matthew Domenic,The Christian and Missionary Alliance Eastern Canada District
Ajax,Kumsa,Berhanu Tadesse,Ministers Network Canada
Ajax,Kurish,John Campbell,Ministers Network Canada
Ajax,Kwong,Peter,Churches of Christ
Ajax,Lanio Trebell,Wilma H,The Star Of Progress Spiritual Church
Ajax,Lawrance,Kimberley Ann,East Central Ontario Regional Council - United Church
Ajax,Leadsom,Dominic B,The Bridge - Church For All Nations Incorporated
Ajax,Lee,Lyle Lewis,The Association for Education and Evangelism
Ajax,Lemieux,Christopher Douglas,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Ajax,Levy,Jayson,Seventh-day Adventists Ontario Conference
Ajax,Lewis,David,The Christian and Missionary Alliance Eastern Canada District
Ajax,Lewis,Dennis,Rhema Studies Of Theology Association
Ajax,Lim,Kevin M,The Christian and Missionary Alliance Eastern Canada District
Ajax,Lindsay,Lovan St Anthony,Spreading Truth Ministries
Ajax,Lyons,Kenneth George,Church of God in Canada
Ajax,MacBaiden,Dean,Power In Praises Deliverance Ministries Inc.
Ajax,Mahalingam,Dishan,Ministers Network Canada
Ajax,Maharaj,Ramsamooj,Hinduism
Ajax,Manansala,Enrique,Fellowship Of Evangelical Baptist Churches
Ajax,Martin,Arthur,British Methodist Episcopal Church Conference Of Canada
Ajax,Martin,Sydney Allan,Church of God in Canada
Ajax,Matar,Moses,Coptic Orthodox Church
Ajax,Mattison,Petrina Elizabeth,York St Peter's Evangelistic Organization
Ajax,Mayne,Andrew,Church of God in Christ Inc.
Ajax,McCarthy,Dave A,The Association for Education and Evangelism
Ajax,McIlmoyle,Brandy-Rose,Clergy Support Memorial Church
Ajax,McInnes,Gregory James,The Association for Education and Evangelism
Ajax,McInnes,Rhonda J,The Association for Education and Evangelism
Ajax,McLean,Tanya P,The New Testament Church of Christ the Redeemer
Ajax,McVety,Charles H,The Association for Education and Evangelism
Ajax,McVety,Jennifer Belle,The Association for Education and Evangelism
Ajax,Meador,James W,Churches Of Christ And Individually As Disciples Of Christ
Ajax,Mills,Samuel,Ministers Network Canada
Ajax,Mina,Eynar,The Christian and Missionary Alliance Eastern Canada District
Ajax,Mitchell,Marlon O'Neil,Ebenezer Holiness Church of God Inc.
Ajax,Mithani,Sikawder,Ismaili Muslim Council For Ontario
Ajax,Morgan,Veronica,The New Testament Church of Christ the Redeemer
Ajax,Morrell,Nichola Suzanne,Canadian International Metaphysical Ministry
Ajax,Morrell,Stephen,York St Peter's Evangelistic Organization
Ajax,Mungal,Noel Christi,True Vine Ministries
Ajax,Murphy,David,Presbyterian Church in Canada Presbytery Of Pickering
Ajax,Nembhard-Colquhoun,Deborah,Spiritual Hospital
Ajax,Newland,Richard P,The Anglican Church Of Canada Diocese Of Toronto
Ajax,Nganje,Charles N,Celestial Church of Christ
Ajax,Nichols,Frederick Antonio,Seventh-day Adventists Ontario Conference
Ajax,Nkunku,Masungula Camille,The Association for Education and Evangelism
Ajax,Noble,Robert,Pentecostal Church Of God Of America
Ajax,Northe,Leonard,Seventh-day Adventists Ontario Conference
Ajax,Notice,Donald A,The Christian and Missionary Alliance Eastern Canada District
Ajax,Ocampo,Fernando,Bethel Baptist Church - Iglesia Bautista Betel
Ajax,Ofe-Brobe,Samuel,United Pentecostal Church International Ontario District
Ajax,Okonta,Heidi,The Association for Education and Evangelism
Ajax,Oosterman,William,Fellowship Of Evangelical Baptist Churches
Ajax,Owens,Robert L,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Oxley,Gloria,Evangelical Church Alliance Ministerial Fellowship Of Canada
Ajax,Padiernos,Mark J,The Fire of Jesus Christ Ministries
Ajax,Palmer,Don,Brethren
Ajax,Penny,Gale B,Liberty Christian Centre Inc.
Ajax,Persaud,George,Church of God in Canada
Ajax,Preston,Keith Leonard,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Proudlove - Brown,Karen L,The New Testament Church of Christ the Redeemer
Ajax,Quadri,Fatai,Rhema Studies Of Theology Association
Ajax,Radlein,Illya Sean Emeil,Redemption City Of Faith Ministries Of Canada Inc
Ajax,Raghubar,Christopher K,Canadian Christian Ministries
Ajax,Ralph,Barrie L,The Anglican Church Of Canada
Ajax,Ramdeen,Catherine M A,Divine Light Spiritualist Church
Ajax,Ramessar,Daniel,Church Of The Nazarene Canada Central District
Ajax,Ray,Brad William,Eagle Worldwide Ministries
Ajax,Raymond,Minerva B,Canadian Christian Ministries
Ajax,Razak,Roy Rahafman,Islamic
Ajax,Reeves,Sandra,Church of God in Canada
Ajax,Reid,Anthony,Seventh-day Adventists Ontario Conference
Ajax,Reid,Fabian,The Fellowship Of Christian Assemblies
Ajax,Reid,Hugh Barrington,Redemption Apostolic Pentecostal Temple Inc.
Ajax,Richards,Dean,Lighthouse Churches of God in Christ of Canada Inc
Ajax,Richards,Harold,True Holiness Apostolic Temple of Ontario
Ajax,Richards,Lennox Boyd,Ontario Church of God in Christ
Ajax,Ricketts,Jennifer U,Church of God in Canada
Ajax,Rios,Ricardo,Faith Christian Fellowship of Canada Inc.
Ajax,Roberts,Wesley P,The Christian and Missionary Alliance Eastern Canada District
Ajax,Rodriguez,Asael,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Roopnarine,Josephine Diana,Independent Assemblies Of God International
Ajax,Roopnarine,Moonie,Gilgal Christian Community
Ajax,Rowe,Leason V,"Old & New Bible Holiness Churches, Inc."
Ajax,Russell,Roy Theaphilus,The Association for Education and Evangelism
Ajax,Rychlicki,Andrzej,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Ajax,Sabourin,Jason James,Salvation Army
Ajax,Sams,Louise Estelle,East Central Ontario Regional Council - United Church
Ajax,Samuel,Josh P S,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Sarju,Ramanand,Toronto Arya Samaj
Ajax,Savariau,Oneil Dwight,Cathedral of Hope Ministries
Ajax,Scrimgeour-Brown,Michelle,Bancroft Centre For Awakening Spiritual Growth
Ajax,Shanks,Hazel Laureen,Celebrating Life Ministries
Ajax,Shorten,Mark Richard,The Association for Education and Evangelism
Ajax,Sibley,Samuel Robert,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Sikha,Irwin,The Anglican Church Of Canada Diocese Of Toronto
Ajax,Silva,Rohan,Foursquare Gospel Church of Canada
Ajax,Simpson,Christopher Dale,United Pentecostal Church International Ontario District
Ajax,Singh,Joseph Michael,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Ajax,Smart,Carolyn R,The New Testament Church of Christ the Redeemer
Ajax,Smart,Karen Marie,East Central Ontario Regional Council - United Church
Ajax,Smiley,Allister,The Association for Education and Evangelism
Ajax,Smith,Earl Anthony,Rhema Studies Of Theology Association
Ajax,Smith,Ronnie Roy,Evangelical Lutheran Church In Canada Eastern Synod
Ajax,Smith,Vena I,Canadian Christian Ministries
Ajax,Smith-Knowles,Carla A,Canadian Christian Ministers Federation Inc.
Ajax,Soares,Alban Sabino,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Ajax,Spence,Floyd Samuel,Seventh-day Adventists Ontario Conference
Ajax,Spicer,Susan Lorraine,The Anglican Church Of Canada Diocese Of Toronto
Ajax,St John,Lovelace Dave,The Fellowship Of Christian Assemblies
Ajax,Steeves,Heather Maxine,Divine Light Spiritualist Church
Ajax,Steinberg,Jerry D,Jewish - Reform
Ajax,Straker,Jean Anglicia,Canadian Christian Ministries
Ajax,Strickland,James Frederick,Independent Assemblies Of God International
Ajax,Sylvia,Mitchell L,Associated Gospel Churches
Ajax,Takeda,Barbara A,Bancroft Centre For Awakening Spiritual Growth
Ajax,Tanyan,Alexandra,Partners In Harvest (Canada)
Ajax,Tanyan,John,Partners In Harvest (Canada)
Ajax,Terrelonge,Violet A,The Association for Education and Evangelism
Ajax,Thomas,Andrew Mark Phillip,Seventh-day Adventists Ontario Conference
Ajax,Thomas,Crysta Deniel,Abba Ministries Of Canada
Ajax,Thomas,Rondo P,The Association for Education and Evangelism
Ajax,Thompson,Akinwale,The Fellowship Of Christian Assemblies
Ajax,Thompson,Jonathan,Associated Gospel Churches
Ajax,Thompson,Rohan Oneil,The Association for Education and Evangelism
Ajax,Thomson,Maryanne Robin,East Central Ontario Regional Council - United Church
Ajax,Thurairajah,Winston,Canadian Christian Ministers Federation Inc.
Ajax,Toban,Thelma Maud,Evangelical Church Of God Canada
Ajax,Trought,Alethia C,Canadian Christian Ministries
Ajax,Twum Barimah,Anyan,All Nations Full Gospel Church
Ajax,Tyo,Robert Weldon,Associated Gospel Churches
Ajax,Ulloa,Ivan L,The Church of Jesus Christ of Latter-Day Saints
Ajax,Vijayasenan,Ernest Samuel,The Pentecostal Assemblies of Canada Eastern Ontario District
Ajax,Viljoen,Rocco,Evangelical Church Alliance Ministerial Fellowship Of Canada
Ajax,Wallace,Richard,Holy Zion of Melchizek Inc.
Ajax,Warner-Roberts,Elizabeth,Abba Ministries Of Canada
Ajax,Williams,Enez N,Canadian Christian Ministries
Ajax,Williams,Eustace Charles,Seventh-day Adventists Ontario Conference
Ajax,Williams,Patrick A,Canadian Christian Ministries
Ajax,Williams,Victor E,The Fellowship Of Christian Assemblies
Ajax,Wilson,Colin Everton,The Association for Education and Evangelism
Ajax,Wright,Theresa Cleary Joevane,Canadian Christian Ministries
Ajax,Wunibee,Solomon,Dream Nation Christian Center
Ajax,Yhap,Aileen Patricia,Evangelical Church Alliance Ministerial Fellowship Of Canada
Ajax,Young,Eddison,Canadian Christian Ministries
Ajax,Zashov,Aleksandar,Macedonian Eastern Orthodox Church
Ajax,Zegers,Brian,United Reformed Churches In North America
Ajax,Zhang,Qian,The Christian and Missionary Alliance Central Canada District
Alban,Mutombo,Marcellin Kawawa,Roman Catholic Diocese Of Sault Ste. Marie
Alexandria,Bernier,Diane Champagne,Bancroft Centre For Awakening Spiritual Growth
Alexandria,Blake,Jonathan,Roman Catholic Archdiocese Of Ottawa-Cornwall
Alexandria,Brunet,Claude Louis,Roman Catholic Archdiocese Of Ottawa-Cornwall
Alexandria,Goossen,Franklin,"Church of God in Christ, Mennonite"
Alexandria,Kaba Mubesi,Didier-Arthur,Roman Catholic Archdiocese Of Ottawa-Cornwall
Alexandria,MacCallum,Bruce Stuart,Baptist - Ontario & Quebec
Alexandria,Morris,Michael J,Roman Catholic Archdiocese Of Ottawa-Cornwall
Alfred,Frederique,Jacques,Roman Catholic Archdiocese Of Ottawa-Cornwall
Alfred,Groleau,Marie Mireille Geraldine,Clergy Support Memorial Church
Alfred,Keith,Gregory Vernon Winston,The Church of Jesus Christ of Latter-Day Saints
Alfred,Lalonde,Rheal Ernest,Roman Catholic Archdiocese Of Ottawa-Cornwall
Alfred,Langevin,Louise,Eglise Evangelique Chretienne de Lorraine
Alfred,Perron,France D,Eglise Evangelique Chretienne de Lorraine
Alfred,Pommainville,Andre K,Roman Catholic Archdiocese Of Ottawa-Cornwall
Alfred,Rosborough,Dale,Independent Assemblies Of God International
Alfred,Rosborough,Daniel,Independent Assemblies Of God International
Algoma Mills,Forest,Alice Anne,Ministers Network Canada
Algoma Mills,Forest,Glenn Yvon,Ministers Network Canada
Algoma Mills,Provencher,Marc Henry,The Church of Jesus Christ of Latter-Day Saints
Algonquin Highlands,Smith-Morrison,Barbara Ann,Mennonite Church Eastern Canada
Algonquin Highlands,Weber,Lorraine,Evangelical Missionary Church Canada East District
Algonquin Highlands,Weir,Joan,Clergy Support Memorial Church
Alison,Owusu-Ansah,Douglas,The Pentecostal Assemblies of Canada Eastern Ontario District
Aliston,Grundy,Richard W,The Pentecostal Assemblies of Canada Western Ontario District
Allanburg,Sears,Clinton Melbourne,Canadian Christian Ministries
Allenford,Weber,Rodney,Mennonite
Alliston,Afflick,Travis,Seventh-day Adventists Ontario Conference
Alliston,Andrade,Judith,Clergy Support Memorial Church
Alliston,Archer,Jane I,Salvation Army
Alliston,Bos,Dwayne William,The Anglican Church Of Canada Diocese Of Toronto
Alliston,Dyck,Helena,Anchor Ministerial Fellowship
Alliston,Eyule,Norberto A,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Alliston,Ferron,Amanda Marlene,Power In Praises Deliverance Ministries Inc.
Alliston,Flietstra,Jack S,Fellowship Of Evangelical Baptist Churches
Alliston,Gadsden,William Attwood,Divine Light Spiritualist Church
Alliston,Gerber,Earl Christian Newstead,The Anglican Church Of Canada Diocese Of Toronto
Alliston,Giannone,Anthony,The Sanctuary Family Centre
Alliston,Glogowska,Patrycja Julita,Clergy Support Memorial Church
Alliston,Hunt,Robert Dean,The Pentecostal Assemblies of Canada Western Ontario District
Alliston,Hustler,Barbara Jean,Salvation Army
Alliston,Kostyra,Cory G,Ministers Network Canada
Alliston,Kotsopoulos, Michael Christopher,Be In Christ Church Of Canada
Alliston,Levine,Julia,Ontario Humanist Society
Alliston,Lisi,Jessica Elisa,The Good Samaritan Progressive Church
Alliston,Longland,Elaine Doris,Shining Waters Regional Council - United Church
Alliston,Malott,Christopher,The Pentecostal Assemblies of Canada Western Ontario District
Alliston,Milligan,Douglas Earl,Jehovah's Witnesses
Alliston,Milne,Richard Edward,Celebrating Life Ministries
Alliston,Montgomery,Donald James,Jehovah's Witnesses
Alliston,Mortson,Stacey Ann,Western Ontario Waterways Regional Council - United Church
Alliston,Pearson,Lisa Cheryl,Celebrating Life Ministries
Alliston,Price,Darryl D,The Pentecostal Assemblies of Canada Western Ontario District
Alliston,Ramdas,Lake,United Pentecostal Church International Ontario District
Alliston,Risto,Barry W,The Pentecostal Assemblies of Canada Western Ontario District
Alliston,Rodgers,Patricia Ellen,Shining Waters Regional Council - United Church
Alliston,Rowsell,Wayne Reginald,True Light Apostolic Church of Jesus Christ
Alliston,Salverda,Brittney Erin,Christian Reformed Church In North America
Alliston,Salverda,David Anthony,Christian Reformed Church In North America
Alliston,Sewah,Deonanan,The Fellowship Of Christian Assemblies
Alliston,Sewah,Maria G,The Fellowship Of Christian Assemblies
Alliston,Somers,Ralph Anthony,Independent Assemblies Of God International
Alliston,Symons,William Rex,The Anglican Church Of Canada
Alliston,Waldman,Jaison N,New Apostolic Church Canada
Alliston,Westell,Todd D,The Christian and Missionary Alliance Central Canada District
Alliston,Wilbur,Michael D,Clergy Support Memorial Church
Alliston,Yimene,Ababu Minda,The Fellowship Of Christian Assemblies
Alliston,Zareian,Bahiyyih,The Spiritual Assembly of the Baha'is of New Tecumseh
Alma,Bauman,Gordon,Conservative Mennonite Of Ontario
Alma,Bauman,Merlyn,Anchor Ministerial Fellowship
Alma,McCready,Mark,Brethren
Almonte,Canning,Darren W,Ministers Network Canada
Almonte,Carr,Barry,Presbyterian Church in Canada Presbytery Of Lanark & Renfrew
Almonte,Clancy,Shawna-Lea,Bancroft Centre For Awakening Spiritual Growth
Almonte,De Jonge,Jeffery Charles,Eastern Ontario Outaouais Regional Council - United Church
Almonte,Dickie,Fred B,Eagle Worldwide Ministries
Almonte,Gagne,Michel Paul,The Anglican Church Of Canada Diocese Of Ottawa
Almonte,Giles,Jennifer Emily,Celebrating Life Ministries
Almonte,Hallas,Hank G B,Ministers Network Canada
Almonte,Hoy,Jennifer,Ontario Humanist Society
Almonte,Kinkaid,Heather S,Eastern Ontario Outaouais Regional Council - United Church
Almonte,Kouri,Jonathon Brock,The Anglican Church Of Canada Diocese Of Ottawa
Almonte,Lowes,Lorraine Ann,Eastern Ontario Outaouais Regional Council - United Church
Almonte,MacRobbie,Gregory James,Fellowship Of Evangelical Baptist Churches
Almonte,Marquis,Vincent J,Evangelical Church Alliance Ministerial Fellowship Of Canada
Almonte,McLeod,Sheryl Lee,Eastern Ontario Outaouais Regional Council - United Church
Almonte,Roberge,Michael P J,Canadian International Metaphysical Ministry
Almonte,Roi,Deborah Joy,Eastern Ontario Outaouais Regional Council - United Church
Almonte,Royal,Mary Elizabeth,Eastern Ontario Outaouais Regional Council - United Church
Alton,Grice,Mark Robert,Celebrating Life Ministries
Alvinston,Breen,James Orwell,Antler River Watershed Regional Council - United Church
Alvinston,MacMillan,Amanda,Presbyterian Church in Canada Presbytery Of London
Alvinston,McKinlay-Smith,Christine Claire,Humanist Association Of Canada
Alvinston,Milliken,Wendy Suzanne,Antler River Watershed Regional Council - United Church
Alymer,Banman,Jacob F,Old Sommerfelder Mennonite Church
Alymer,Hiebert,Jacob,Reinland Fellowship Mennonite Church
Alymer,Neufeld,Franz,Celebrating Life Ministries
